,Cost
1495,0.5519792300077546
1500,0.5513868720460529
1505,0.5507977759808113
1510,0.5502119128575046
1515,0.5496292540721123
1520,0.5490497713657722
1525,0.5484734368195291
1530,0.5479002228491797
1535,0.5473301022002138
1540,0.5467630479428449
1545,0.5461990334671328
1550,0.5456380324781931
1555,0.5450800189914948
1560,0.5445249673282401
1565,0.5439728521108288
1570,0.5434236482584034
1575,0.5428773309824727
1580,0.5423338757826139
1585,0.5417932584422509
1590,0.5412554550245059
1595,0.5407204418681255
1600,0.5401881955834777
1605,0.5396586930486182
1610,0.5391319114054264
1615,0.5386078280558078
1620,0.5380864206579626
1625,0.5375676671227188
1630,0.5370515456099278
1635,0.536538034524924
1640,0.5360271125150408
1645,0.5355187584661918
1650,0.5350129514995057
1655,0.5345096709680196
1660,0.5340088964534301
1665,0.5335106077628957
1670,0.5330147849258973
1675,0.5325214081911471
1680,0.5320304580235529
1685,0.5315419151012302
1690,0.5310557603125664
1695,0.5305719747533316
1700,0.5300905397238391
1705,0.5296114367261512
1710,0.5291346474613319
1715,0.5286601538267447
1720,0.5281879379133936
1725,0.5277179820033087
1730,0.527250268566974
1735,0.5267847802607963
1740,0.5263214999246162
1745,0.5258604105792574
1750,0.5254014954241183
1755,0.5249447378347988
1760,0.5244901213607683
1765,0.5240376297230686
1770,0.5235872468120545
1775,0.52313895668517
1780,0.5226927435647594
1785,0.5222485918359138
1790,0.5218064860443501
1795,0.5213664108943251
1800,0.5209283512465804
1805,0.5204922921163206
1810,0.5200582186712231
1815,0.519626116229478
1820,0.519195970257858
1825,0.5187677663698206
1830,0.5183414903236361
1835,0.5179171280205472
1840,0.5174946655029552
1845,0.5170740889526344
1850,0.5166553846889739
1855,0.5162385391672459
1860,0.5158235389769008
1865,0.5154103708398865
1870,0.5149990216089956
1875,0.5145894782662349
1880,0.5141817279212216
1885,0.5137757578096015
1890,0.5133715552914926
1895,0.5129691078499503
1900,0.5125684030894573
1905,0.5121694287344336
1910,0.5117721726277701
1915,0.5113766227293839
1920,0.5109827671147936
1925,0.5105905939737172
1930,0.5102000916086882
1935,0.5098112484336951
1940,0.5094240529728369
1945,0.5090384938590022
1950,0.5086545598325635
1955,0.5082722397400934
1960,0.5078915225330981
1965,0.5075123972667681
1970,0.5071348530987494
1975,0.5067588792879298
1980,0.5063844651932438
1985,0.5060116002724936
1990,0.5056402740811887
1995,0.5052704762713996
