,Cost
1396,0.5644684848619531
1400,0.563937234694096
1404,0.5634084967119489
1408,0.5628822518041161
1412,0.562358481057352
1416,0.5618371657539714
1420,0.561318287369302
1424,0.5608018275691737
1428,0.5602877682074507
1432,0.5597760913235987
1436,0.5592667791402935
1440,0.5587598140610635
1444,0.5582551786679705
1448,0.5577528557193263
1452,0.5572528281474439
1456,0.5567550790564229
1460,0.5562595917199703
1464,0.5557663495792526
1468,0.5552753362407824
1472,0.5547865354743365
1476,0.5542999312109047
1480,0.5538155075406713
1484,0.5533332487110254
1488,0.5528531391246024
1492,0.5523751633373543
1496,0.5518993060566486
1500,0.5514255521393965
1504,0.5509538865902077
1508,0.5504842945595737
1512,0.5500167613420781
1516,0.5495512723746322
1520,0.5490878132347375
1524,0.5486263696387735
1528,0.548166927440311
1532,0.5477094726284496
1536,0.5472539913261791
1540,0.5468004697887661
1544,0.5463488944021625
1548,0.5458992516814383
1552,0.5454515282692363
1556,0.5450057109342488
1560,0.5445617865697177
1564,0.5441197421919542
1568,0.5436795649388808
1572,0.5432412420685943
1576,0.5428047609579483
1580,0.5423701091011569
1584,0.5419372741084172
1588,0.5415062437045521
1592,0.5410770057276716
1596,0.5406495481278537
1600,0.540223858965843
1604,0.5397999264117677
1608,0.5393777387438748
1612,0.5389572843472835
1616,0.5385385517127539
1620,0.5381215294354752
1624,0.5377062062138693
1628,0.537292570848411
1632,0.5368806122404645
1636,0.5364703193911367
1640,0.5360616814001445
1644,0.5356546874647002
1648,0.5352493268784084
1652,0.534845589030182
1656,0.5344434634031697
1660,0.5340429395737
1664,0.5336440072102383
1668,0.5332466560723588
1672,0.5328508760097297
1676,0.5324566569611129
1680,0.5320639889533751
1684,0.5316728621005155
1688,0.5312832666027024
1692,0.530895192745326
1696,0.5305086308980619
1700,0.5301235715139474
1704,0.5297400051284706
1708,0.5293579223586707
1712,0.5289773139022503
1716,0.5285981705366999
1720,0.528220483118433
1724,0.5278442425819335
1728,0.5274694399389133
1732,0.5270960662774808
1736,0.5267241127613222
1740,0.5263535706288897
1744,0.5259844311926035
1748,0.5256166858380632
